BUGID,FNAME,CHURN,LOC
27644,qtbase/src/gui/kernel/qguiapplication.cpp,9,1569
24692,qtbase/src/network/socket/qabstractsocket.cpp,1,1242
20503,qtbase/src/widgets/dialogs/qfiledialog.cpp,5,1893
20503,qtbase/src/widgets/dialogs/qfilesystemmodel.cpp,7,1151
20503,qtbase/tests/auto/widgets/dialogs/qfiledialog2/tst_qfiledialog2.cpp,99,670
20503,qtbase/tests/auto/widgets/dialogs/qfilesystemmodel/tst_qfilesystemmodel.cpp,49,664
22656,qtbase/src/plugins/platforms/windows/qwindowsfontenginedirectwrite.h,1,57
22656,qtbase/src/plugins/platforms/windows/qwindowsfontenginedirectwrite.cpp,4.5,547
26648,qtbase/src/tools/qdoc/qmlcodeparser.cpp,1.5,136
26648,qtbase/src/tools/qdoc/cppcodeparser.cpp,21.5,1961
26648,qtbase/src/tools/qdoc/node.cpp,5,1845
26648,qtbase/src/tools/qdoc/qmlvisitor.cpp,3,402
26648,qtbase/src/tools/qdoc/tree.cpp,1,1822
26648,qtbase/src/tools/qdoc/cppcodeparser.h,1,130
26648,qtbase/src/tools/qdoc/node.h,4,770
25811,qtbase/tests/auto/corelib/io/qfileinfo/tst_qfileinfo.cpp,5,881
25811,qtbase/src/corelib/io/qfileinfo.cpp,4.5,584
25811,qtbase/src/corelib/io/qfilesystemengine_win.cpp,2.5,842
25811,qtbase/src/corelib/io/qfilesystemengine_unix.cpp,2.5,347
27969,qtbase/tests/auto/corelib/animation/qpropertyanimation/tst_qpropertyanimation.cpp,22.5,978
27969,qtbase/src/corelib/animation/qvariantanimation.cpp,1.5,297
28522,qtbase/src/corelib/tools/qdatetime.cpp,10,2843
27979,qtbase/src/sql/kernel/qsqlresult.h,1,82
27979,qtbase/src/sql/drivers/oci/qsql_oci.cpp,3,2144
27362,qtbase/src/gui/painting/qpaintengine_raster.cpp,2,3277
27362,qtbase/src/gui/text/qfontengine_p.h,1,269
27362,qtbase/src/platformsupport/fontdatabases/mac/qfontengine_coretext_p.h,1,53
27362,qtbase/src/gui/text/qfontengine.cpp,2,1378
22285,qtbase/tests/auto/xml/sax/qxmlsimplereader/tst_qxmlsimplereader.cpp,1.5,570
