BUGID,FNAME,CHURN,LOC
33360,qtbase/src/corelib/json/qjsonvalue.cpp,9,309
33360,qtbase/src/gui/math3d/qquaternion.cpp,7,137
33360,qtbase/src/corelib/global/qnumeric.cpp,6,11
33360,qtbase/src/network/ssl/qsslerror.cpp,2,147
33360,qtbase/src/widgets/kernel/qwidget_p.h,1,494
33360,qtbase/src/network/access/qnetworkaccessbackend.cpp,1,263
33360,qtbase/examples/widgets/tutorials/threads/hellothreadpool/hellothreadpool.cpp,32.5,19
33360,qtbase/src/corelib/tools/qmargins.cpp,4,21
33360,qtbase/src/widgets/kernel/qgesture.cpp,4,351
33360,qtbase/src/widgets/kernel/qboxlayout.cpp,5,661
33360,qtbase/src/sql/kernel/qsqlerror.cpp,3,66
33360,qtbase/src/corelib/io/qurlquery.cpp,4,301
33360,qtbase/src/gui/math3d/qmatrix4x4.cpp,4,1073
33360,qtbase/src/corelib/kernel/qeventloop.cpp,3,173
33360,qtbase/src/corelib/itemmodels/qsortfilterproxymodel.cpp,7,1761
33360,qtbase/src/corelib/io/qsavefile.cpp,3,147
33360,qtbase/src/gui/text/qzip.cpp,4,885
33360,qtbase/src/widgets/graphicsview/qgridlayoutengine.cpp,3,1346
33360,qtbase/src/corelib/io/qfsfileengine.cpp,8,436
33360,qtbase/src/network/socket/qlocalsocket.cpp,11,111
33360,qtbase/src/corelib/io/qdatastream.cpp,2,412
33360,qtbase/src/widgets/widgets/qcombobox.cpp,3,1899
33360,qtbase/src/gui/opengl/qopenglshaderprogram.cpp,15,1344
33360,qtbase/src/gui/math3d/qvector2d.cpp,5,92
33360,qtbase/src/corelib/kernel/qsocketnotifier.cpp,1,76
33360,qtbase/src/xml/sax/qxml.cpp,47,5074
33360,qtbase/src/corelib/tools/qregexp.cpp,14,2509
33360,qtbase/src/network/access/qftp.cpp,7,1230
33360,qtbase/src/corelib/io/qdebug.cpp,1,28
33360,qtbase/src/sql/kernel/qsqlresult.cpp,15,420
33360,qtbase/src/corelib/statemachine/qstatemachine.cpp,5,1735
33360,qtbase/src/widgets/styles/qwindowsstyle.cpp,1,1784
33360,qtbase/src/corelib/tools/qrect.cpp,42,462
33360,qtbase/src/widgets/dialogs/qcolordialog.cpp,1,1217
33360,qtbase/src/widgets/kernel/qshortcut.cpp,2,297
33360,qtbase/src/widgets/widgets/qmdiarea.cpp,1,1679
33360,qtbase/src/network/access/qnetworkrequest.cpp,3,454
33360,qtbase/src/gui/opengl/qopengltexture.cpp,12,12
33360,qtbase/src/tools/qdoc/cppcodeparser.cpp,1,1855
33360,qtbase/src/corelib/tools/qelapsedtimer_generic.cpp,2,46
33360,qtbase/src/network/socket/qnativesocketengine.cpp,8,604
33360,qtbase/src/corelib/tools/qstring.cpp,108,3468
33360,qtbase/src/gui/text/qfontmetrics.cpp,16,604
33360,qtbase/src/corelib/tools/qpoint.cpp,10,47
33360,qtbase/src/corelib/kernel/qmetaobject.cpp,53,1695
33360,qtbase/src/plugins/imageformats/ico/qicohandler.cpp,2,654
33360,qtbase/src/gui/text/qtextoption.cpp,8,99
33360,qtbase/src/widgets/widgets/qdockwidget.cpp,3,933
33360,qtbase/src/widgets/util/qscrollerproperties.cpp,2,146
33360,qtbase/src/widgets/widgets/qmdisubwindow.cpp,2,2322
33360,qtbase/src/corelib/io/qfiledevice.cpp,10,322
33360,qtbase/src/widgets/graphicsview/qgraphicsscene.cpp,23,3692
33360,qtbase/src/network/socket/qudpsocket.cpp,5,116
